sampleID;class
5_Wax_Ext_blank;Process_Blank
10_Wax_QC;Quality_Control
21_Wax_QC;Quality_Control
32_Wax_QC;Quality_Control
44_Wax_QC;Quality_Control
55_Wax_QC;Quality_Control
65_Wax_QC;Quality_Control
66_Wax_QC;Quality_Control
9_Wax_QC;Quality_Control
11_Wax_Callo_52_9mg_3;Samples
12_Wax_Brote_14_5mg_1;Samples
13_Wax_Brote_50 _ 1mg_3;Samples
14_Wax_Brote_44_2 mg_2;Samples
15_Wax_Brote_76_08mg_1;Samples
16_Wax_Brote_25_ 3 mg_1;Samples
17_Wax_Brote_33_5 mg_3;Samples
18_Wax_Brote_6_6mg_2;Samples
19_Wax_Brote_22_3mg_2;Samples
20_Wax_Brote_6_6mg_1;Samples
22_Wax_Brote_76_08mg_2;Samples
23_Wax_Brote_50 _ 1mg_2;Samples
24_Wax_Brote_33_4mg_1;Samples
25_Wax_Brote_44_2 mg_3;Samples
26_Wax_Brote_6_8mg_1;Samples
27_Wax_Brote_12_5mg_2;Samples
28_Wax_Brote_24_ 8mg_3;Samples
29_Wax_Brote_25_ 3 mg_3;Samples
30_Wax_Brote_33_4mg_2;Samples
31_Wax_Brote_22_3mg_3;Samples
34_Wax_Brote_14_5mg_2;Samples
35_Wax_Brote_76_08mg_3;Samples
36_Wax_Callo_40_2mg_1;Samples
37_Wax_Brote_27_8 mg_1;Samples
38_Wax_Callo_40_2mg_3;Samples
39_Wax_Callo_52_9mg_1;Samples
40_Wax_Brote_6_6mg_2;Samples
41_Wax_Brote_12_5mg_3;Samples
42_Wax_Callo_56_2mg_2;Samples
43_Wax_Brote_33_5 mg_2;Samples
45_Wax_Callo_52_9mg_2;Samples
46_Wax_Brote_33_4mg_3;Samples
47_Wax_Brote_12_5mg_1;Samples
48_Wax_Brote_6_8mg_3;Samples
49_Wax_Brote_27_8 mg_2;Samples
50_Wax_Brote_24_ 8mg_1;Samples
51_Wax_Brote_33_5 mg_1;Samples
52_Wax_Brote_14_5mg_3;Samples
53_Wax_Brote_24_ 8mg_2;Samples
54_Wax_Brote_44_2 mg_1;Samples
57_Wax_Brote_27_8 mg_3;Samples
58_Wax_Brote_22_3mg_1;Samples
59_Wax_Callo_40_2mg_2;Samples
60_Wax_Brote_50 _ 1mg_1;Samples
61_Wax_Callo_56_2mg_3;Samples
62_Wax_Callo_56_2mg_1;Samples
63_Wax_Brote_6_8mg_2;Samples
64_Wax_Brote_25_ 3 mg_2;Samples
